iter	Passed	Remaining
0	2	238358
1	3	183466
2	4	156236
3	5	139295
4	6	138756
5	8	141379
6	10	153947
7	13	165680
8	14	157186
9	15	150020
10	15	143317
11	16	139154
12	17	137777
13	19	138704
14	20	137076
15	21	133877
16	22	131455
17	23	128678
18	23	125749
19	24	124005
20	25	121728
21	26	120690
22	27	118692
23	28	117700
24	29	116235
25	29	114954
26	30	113794
27	31	112354
28	32	111768
29	33	112495
30	34	112284
31	35	111368
32	36	110856
33	37	109831
34	38	108881
35	38	108055
36	39	107507
37	40	107025
38	41	106981
39	42	106262
40	44	107650
41	45	109193
42	46	108936
43	47	108487
44	48	107988
45	49	107872
46	50	107315
47	51	107008
48	52	107156
49	53	106744
50	54	106195
51	54	105643
52	55	105113
53	56	104941
54	62	113269
55	66	118304
56	68	119719
57	70	120942
58	72	122584
59	75	125889
60	78	128646
61	81	131280
62	83	132373
63	85	133465
64	87	133880
65	88	134700
66	90	134383
67	91	133941
68	92	133317
69	93	133164
70	94	132414
71	94	131681
72	95	131389
73	97	131271
74	99	133138
75	101	133673
76	105	136472
77	106	135963
78	107	135342
79	107	134806
80	109	134682
81	110	134166
82	110	133559
83	111	133121
84	112	132709
85	113	132242
86	114	131719
87	115	131116
88	116	130492
89	116	129879
90	117	129244
91	118	128684
92	119	128171
93	120	127902
94	121	127818
95	122	127462
96	123	127014
97	124	126735
98	125	126439
99	126	125931
100	126	125410
101	127	125142
102	129	125124
103	130	124947
104	131	124686
105	132	124425
106	132	124042
107	133	123565
108	134	123096
109	135	122676
110	136	122428
111	137	122285
112	138	122087
113	138	121782
114	139	121505
115	140	121088
116	141	120772
117	142	120372
118	143	120051
119	143	119745
120	144	119364
121	145	118992
122	146	118611
123	146	118273
124	147	117961
125	148	117588
126	149	117234
127	149	116894
128	150	116563
129	151	116279
130	152	115962
131	152	115649
132	153	115354
133	154	115036
134	155	114748
135	155	114454
136	156	114095
137	157	113783
138	157	113484
139	158	113207
140	159	112916
141	160	112690
142	161	112572
143	161	112273
144	162	112011
145	163	111777
146	164	111539
147	164	111306
148	165	111028
149	166	110754
150	167	110479
151	167	110294
152	168	110122
153	169	109920
154	170	109691
155	171	109530
156	171	109309
157	172	109172
158	173	108970
159	174	108977
160	175	108892
161	176	108719
162	177	108547
163	177	108341
164	178	108131
165	179	107954
166	180	107733
167	180	107546
168	181	107355
169	182	107146
170	183	106966
171	184	106859
172	184	106688
173	185	106537
174	186	106390
175	187	106458
176	188	106317
177	189	106138
178	190	105982
179	190	105868
180	191	105744
181	192	105596
182	193	105425
183	194	105248
184	194	105191
185	195	105125
186	196	105027
187	197	104881
188	198	104692
189	199	104552
190	199	104415
191	200	104286
192	201	104174
193	202	104019
194	202	103890
195	203	103745
196	204	103592
197	205	103437
198	206	103341
199	206	103179
200	207	103029
201	208	102890
202	208	102733
203	209	102606
204	210	102460
205	211	102334
206	211	102197
207	212	102095
208	213	101946
209	214	101799
210	214	101664
211	215	101552
212	216	101457
213	217	101317
214	217	101170
215	218	101050
216	219	100930
217	220	100828
218	221	100702
219	221	100586
220	222	100444
221	223	100312
222	224	100254
223	224	100159
224	225	100056
225	226	99960
226	227	99907
227	228	99775
228	228	99655
229	229	99585
230	230	99479
231	231	99376
232	231	99270
233	232	99242
234	233	99131
235	234	99124
236	235	99013
237	235	98899
238	236	98792
239	237	98678
240	238	98605
241	238	98487
242	239	98370
243	240	98328
244	241	98268
245	242	98163
246	242	98060
247	243	97958
248	244	97858
249	245	97802
250	245	97695
251	246	97587
252	247	97491
253	248	97428
254	248	97355
255	249	97264
256	250	97173
257	251	97356
258	252	97297
259	253	97190
260	254	97138
261	254	97047
262	255	96950
263	256	96957
264	257	96929
265	258	96882
266	259	96800
267	259	96739
268	260	96656
269	261	96639
270	262	96545
271	263	96459
272	263	96360
273	264	96346
274	265	96247
275	266	96181
276	266	96114
277	267	96121
278	268	96052
279	269	95971
280	270	95935
281	271	95843
282	271	95761
283	273	96015
284	274	96009
285	275	96016
286	276	96007
287	277	95954
288	278	95919
289	278	95869
290	279	95794
291	280	95754
292	281	95705
293	282	95673
294	282	95614
295	283	95567
296	284	95518
297	285	95446
298	286	95459
299	287	95473
300	288	95462
301	289	95505
302	290	95440
303	290	95367
304	291	95326
305	292	95271
306	293	95189
307	293	95111
308	294	95100
309	295	95081
310	296	95049
311	297	95012
312	298	95025
313	299	95006
314	300	95033
315	301	95124
316	302	95097
317	303	95031
318	303	94980
319	304	94975
320	305	94921
321	306	94913
322	307	94918
323	308	94873
324	309	94811
325	309	94768
326	310	94717
327	311	94650
328	312	94608
329	313	94594
330	314	94559
331	314	94530
332	315	94518
333	316	94458
334	317	94393
335	318	94406
336	319	94343
337	319	94283
338	320	94286
339	321	94297
340	322	94266
341	323	94206
342	324	94179
343	324	94107
344	325	94052
345	326	93984
346	327	93921
347	327	93860
348	328	93901
349	329	93930
350	330	93881
351	331	93864
352	332	93834
353	333	93783
354	333	93738
355	334	93681
356	335	93623
357	336	93581
358	338	93812
359	338	93759
360	339	93742
361	340	93694
362	341	93674
363	342	93616
364	342	93557
365	343	93494
366	344	93439
367	345	93438
368	346	93517
369	347	93476
370	348	93456
371	348	93438
372	349	93398
373	350	93357
374	351	93291
375	351	93221
376	352	93235
377	353	93236
378	354	93216
379	355	93202
380	356	93158
381	357	93111
382	357	93062
383	358	93007
384	359	92957
385	360	92930
386	361	92934
387	361	92910
388	362	92893
389	363	92886
390	364	92862
391	365	92854
392	366	92812
393	366	92755
394	367	92705
395	368	92700
396	369	92741
397	370	92755
398	371	92748
399	372	92706
400	373	92685
401	374	92665
402	374	92613
403	375	92588
404	376	92580
405	377	92556
406	378	92514
407	378	92461
408	379	92442
409	380	92407
410	381	92360
411	382	92415
412	383	92410
413	384	92454
414	385	92480
415	386	92447
416	386	92399
417	387	92392
418	388	92383
419	389	92396
420	390	92342
421	391	92294
422	391	92246
423	392	92221
424	393	92195
425	394	92149
426	395	92137
427	395	92120
428	396	92089
429	397	92061
430	398	92035
431	399	92004
432	400	91994
433	400	91955
434	401	91939
435	402	91936
436	403	91954
437	404	91919
438	405	91878
439	405	91834
440	406	91817
441	407	91795
442	408	91784
443	409	91810
444	410	91780
445	410	91735
446	411	91712
447	412	91676
448	413	91637
449	414	91590
450	414	91547
451	415	91501
452	415	91394
453	416	91407
454	418	91473
455	419	91514
456	420	91517
457	421	91551
458	422	91547
459	423	91544
460	424	91567
461	425	91636
462	426	91667
463	427	91670
464	428	91727
465	429	91732
466	430	91731
467	431	91725
468	432	91802
469	433	91885
470	434	91915
471	435	91932
472	436	91948
473	437	91943
474	438	91935
475	439	91926
476	440	91981
477	442	92048
478	443	92137
479	444	92175
480	445	92167
481	446	92170
482	447	92151
483	448	92161
484	449	92292
485	450	92333
486	451	92355
487	452	92351
488	453	92356
489	454	92360
490	455	92339
491	456	92332
492	457	92329
493	458	92338
494	459	92344
495	460	92323
496	461	92329
497	461	92296
498	462	92263
499	463	92221
500	464	92221
501	465	92347
502	466	92320
503	467	92306
504	468	92268
505	469	92233
506	469	92218
507	470	92179
508	471	92162
509	472	92144
510	473	92160
511	474	92152
512	475	92119
513	475	92085
514	476	92079
515	477	92046
516	478	92032
517	479	92000
518	479	91971
519	480	91982
520	481	92028
521	482	92010
522	483	92000
523	484	91962
524	485	91940
525	485	91898
526	486	91865
527	487	91827
528	488	91848
529	489	91880
530	490	91899
531	491	91916
532	492	91890
533	493	91856
534	493	91823
535	494	91784
536	495	91747
537	496	91749
538	497	91804
539	498	91777
540	499	91771
541	499	91747
542	500	91707
543	501	91668
544	502	91643
545	503	91627
546	504	91661
547	505	91671
548	506	91669
549	506	91634
550	507	91621
551	508	91587
552	509	91586
553	510	91576
554	510	91549
555	511	91512
556	512	91528
557	513	91572
558	514	91594
559	515	91600
560	516	91567
561	517	91535
562	518	91502
563	518	91475
564	519	91490
565	520	91503
566	521	91492
567	522	91485
568	523	91461
569	524	91438
570	525	91450
571	526	91454
572	526	91441
573	527	91408
574	528	91406
575	529	91429
576	530	91420
577	531	91417
578	532	91402
579	533	91373
580	533	91343
581	534	91319
582	535	91318
583	536	91314
584	537	91310
585	538	91286
586	538	91256
587	539	91242
588	540	91257
589	541	91225
590	542	91208
591	542	91176
592	543	91154
593	545	91306
594	546	91287
595	547	91261
596	548	91254
597	548	91234
598	549	91200
599	550	91169
600	551	91130
601	551	91096
602	552	91099
603	553	91119
604	554	91107
605	555	91088
606	556	91087
607	557	91065
608	557	91038
609	558	91019
610	559	90995
611	560	90999
612	561	90997
613	562	91009
614	563	91020
615	564	91018
616	565	91087
617	566	91065
618	566	91027
619	567	91013
620	568	91034
621	569	91064
622	570	91039
623	571	91023
624	572	91021
625	573	91045
626	574	91055
627	575	91051
628	576	91081
629	577	91115
630	578	91127
631	579	91132
632	580	91141
633	581	91143
634	582	91126
635	583	91125
636	584	91133
637	585	91150
638	586	91140
639	586	91119
640	587	91097
641	588	91074
642	589	91068
643	590	91074
644	591	91084
645	592	91093
646	593	91107
647	594	91087
648	594	91080
649	595	91090
650	596	91068
651	597	91051
652	598	91024
653	599	91002
654	599	90989
655	600	90973
656	601	90952
657	602	90944
658	603	91006
659	604	90988
660	605	90972
661	606	90948
662	606	90926
663	607	90904
664	608	90910
665	609	90923
666	610	90922
667	611	90905
668	612	90898
669	613	90880
670	613	90863
671	614	90835
672	615	90809
673	616	90801
674	617	90791
675	617	90791
676	618	90769
677	619	90761
678	620	90737
679	621	90710
680	621	90706
681	622	90682
682	623	90654
683	624	90643
684	625	90680
685	626	90691
686	627	90702
687	628	90679
688	628	90651
689	629	90641
690	630	90625
691	631	90599
692	632	90598
693	633	90594
694	634	90604
695	635	90626
696	636	90618
697	636	90609
698	637	90590
699	638	90578
700	639	90557
701	640	90548
702	641	90552
703	642	90564
704	642	90552
705	643	90541
706	644	90538
707	645	90520
708	646	90500
709	647	90488
