sample_id,cluster
0,1
1,0
2,4
3,1
4,5
5,5
6,5
7,3
8,0
9,4
10,2
11,3
12,4
13,0
14,3
15,0
16,1
17,4
18,4
19,3
20,3
21,0
22,2
23,5
24,3
25,5
26,3
27,1
28,2
29,5
30,4
31,2
32,4
33,3
34,5
35,4
36,4
37,3
38,2
39,4
40,5
41,3
42,5
43,4
44,4
45,5
46,3
47,3
48,4
49,5
50,3
51,5
52,0
53,5
54,0
55,2
56,1
57,2
58,5
59,3
60,5
61,4
62,1
63,2
64,4
65,0
66,3
67,1
68,3
69,3
70,3
71,0
72,4
73,4
74,2
75,5
76,5
77,4
78,4
79,3
80,5
81,1
82,4
83,2
84,5
85,2
86,4
87,2
88,2
89,4
90,0
91,3
92,2
93,2
94,2
95,3
96,2
97,3
98,1
99,1
100,3
101,0
102,2
103,1
104,2
105,5
106,4
107,2
108,1
109,4
110,5
111,0
112,2
113,1
114,4
115,4
116,5
117,0
118,3
119,2
120,3
121,5
122,0
123,3
124,1
125,3
126,4
127,0
128,2
129,3
130,4
131,2
132,1
133,0
134,5
135,5
136,0
137,1
138,1
139,4
140,0
141,4
142,4
143,2
144,1
145,4
146,0
147,0
148,2
149,1
150,2
151,3
152,2
153,4
154,1
155,3
156,4
157,2
158,2
159,0
160,5
161,4
162,1
163,1
164,5
165,0
166,0
167,3
168,3
169,4
170,2
171,0
172,2
173,3
174,3
175,2
176,2
177,2
178,2
179,1
180,2
181,5
182,3
183,3
184,4
185,5
186,4
187,0
188,5
189,4
190,5
191,2
192,0
193,5
194,0
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,4
205,3
206,2
207,5
208,1
209,4
210,3
211,4
212,1
213,1
214,4
215,3
216,2
217,5
218,4
219,5
220,1
221,5
222,4
223,0
224,2
225,4
226,5
227,2
228,5
229,2
230,2
231,3
232,3
233,0
234,3
235,1
236,0
237,0
238,5
239,1
240,5
241,2
242,1
243,4
244,1
245,2
246,5
247,1
248,0
249,5
250,0
251,4
252,0
253,0
254,0
255,4
256,1
257,4
258,3
259,1
260,5
261,1
262,5
263,1
264,4
265,4
266,5
267,4
268,0
269,0
270,0
271,2
272,3
273,1
274,0
275,2
276,1
277,4
278,5
279,1
280,1
281,5
282,2
283,0
284,3
285,1
286,0
287,5
288,3
289,3
290,1
291,4
292,5
293,5
294,4
295,0
296,4
297,5
298,5
299,4
300,0
301,4
302,0
303,4
304,4
305,4
306,4
307,2
308,2
309,2
310,1
311,0
312,4
313,3
314,1
315,5
316,4
317,5
318,0
319,0
320,0
321,0
322,2
323,1
324,1
325,3
326,4
327,1
328,3
329,2
330,3
331,1
332,0
333,2
334,5
335,0
336,2
337,2
338,5
339,5
340,1
341,4
342,0
343,0
344,4
345,3
346,2
347,1
348,3
349,1
350,1
351,1
352,5
353,3
354,0
355,1
356,0
357,4
358,5
359,0
360,4
361,2
362,1
363,1
364,3
365,4
366,0
367,5
368,1
369,1
370,2
371,4
372,1
373,3
374,2
375,4
376,2
377,1
378,0
379,1
380,3
381,0
382,2
383,3
384,5
385,5
386,0
387,5
388,5
389,0
390,1
391,2
392,4
393,0
394,4
395,5
396,5
397,1
398,5
399,2
400,3
401,0
402,2
403,5
404,4
405,4
406,2
407,4
408,1
409,5
410,1
411,2
412,3
413,1
414,4
415,4
416,0
417,4
418,5
419,2
420,0
421,4
422,3
423,4
424,0
425,5
426,0
427,5
428,5
429,2
430,2
431,2
432,1
433,1
434,2
435,0
436,0
437,5
438,0
439,4
440,2
441,2
442,5
443,4
444,1
445,4
446,0
447,1
448,0
449,2
450,5
451,1
452,4
453,2
454,3
455,2
456,0
457,4
458,3
459,1
460,4
461,3
462,0
463,2
464,5
465,0
466,3
467,0
468,1
469,0
470,0
471,1
472,4
473,0
474,4
475,0
476,3
477,5
478,2
479,0
480,3
481,1
482,5
483,4
484,1
485,2
486,0
487,0
488,3
489,3
490,4
491,1
492,0
493,3
494,5
495,0
496,1
497,2
498,5
499,4
500,5
501,1
502,2
503,0
504,0
505,5
506,1
507,2
508,5
509,4
510,4
511,2
512,2
513,2
514,0
515,2
516,2
517,1
518,0
519,2
520,3
521,5
522,3
523,3
524,0
525,2
526,0
527,3
528,5
529,5
530,0
531,2
532,5
533,3
534,5
535,1
536,3
537,5
538,5
539,3
540,0
541,3
542,4
543,1
544,4
545,4
546,5
547,4
548,5
549,2
550,5
551,4
552,1
553,0
554,5
555,2
556,5
557,2
558,0
559,4
560,1
561,5
562,2
563,3
564,3
565,2
566,2
567,0
568,2
569,3
570,4
571,4
572,0
573,2
574,0
575,3
576,5
577,4
578,3
579,5
580,2
581,2
582,0
583,5
584,4
585,3
586,2
587,1
588,0
589,2
590,5
591,1
592,4
593,4
594,4
595,0
596,2
597,3
598,2
599,1
600,2
601,3
602,0
603,4
604,4
605,5
606,5
607,1
608,1
609,1
610,0
611,2
612,5
613,0
614,1
615,5
616,2
617,1
618,3
619,2
620,1
621,1
622,3
623,1
624,5
625,0
626,2
627,1
628,1
629,3
630,3
631,5
632,3
633,5
634,2
635,2
636,1
637,3
638,0
639,1
640,4
641,4
642,0
643,1
644,2
645,1
646,3
647,2
648,3
649,4
650,4
651,4
652,1
653,0
654,3
655,4
656,5
657,4
658,4
659,5
660,4
661,5
662,4
663,5
664,3
665,3
666,1
667,3
668,0
669,4
670,2
671,5
672,2
673,4
674,2
675,5
676,5
677,0
678,5
679,0
680,2
681,3
682,1
683,0
684,2
685,1
686,2
687,5
688,2
689,2
690,0
691,4
692,2
693,4
694,5
695,0
696,5
697,4
698,4
699,3
700,1
701,5
702,5
703,3
704,0
705,5
706,4
707,2
708,0
709,2
710,2
711,5
712,4
713,4
714,1
715,2
716,4
717,5
718,4
719,5
720,1
721,5
722,3
723,3
724,4
725,0
726,5
727,5
728,5
729,0
730,2
731,1
732,2
733,1
734,4
735,5
736,5
737,4
738,2
739,0
740,4
741,1
742,3
743,3
744,4
745,0
746,2
747,0
748,4
749,0
750,1
751,3
752,2
753,5
754,1
755,4
756,4
757,4
758,1
759,0
760,2
761,0
762,5
763,1
764,3
765,1
766,5
767,0
768,2
769,0
770,1
771,4
772,2
773,1
774,0
775,5
776,0
777,0
778,0
779,2
780,4
781,0
782,4
783,3
784,0
785,2
786,3
787,4
788,3
789,4
790,1
791,1
792,4
793,5
794,2
795,3
796,5
797,0
798,1
799,0
800,3
801,0
802,2
803,4
804,0
805,4
806,1
807,4
808,1
809,4
810,3
811,1
812,2
813,0
814,4
815,2
816,0
817,1
818,0
819,1
820,4
821,0
822,3
823,2
824,5
825,2
826,5
827,2
828,4
829,3
830,3
831,2
832,3
833,0
834,5
835,1
836,0
837,0
838,5
839,1
840,0
841,4
842,2
843,1
844,4
845,5
846,1
847,2
848,2
849,3
850,2
851,2
852,5
853,4
854,5
855,0
856,1
857,4
858,1
859,2
860,4
861,2
862,5
863,0
864,1
865,1
866,4
867,5
868,2
869,0
870,1
871,1
872,5
873,4
874,4
875,1
876,4
877,4
878,4
879,0
880,0
881,0
882,1
883,0
884,5
885,5
886,0
887,0
888,5
889,0
890,5
891,0
892,4
893,0
894,2
895,3
896,0
897,1
898,2
899,1
900,0
901,1
902,2
903,5
904,1
905,2
906,1
907,4
908,0
909,4
910,4
911,4
912,1
913,3
914,4
915,2
916,0
917,2
918,2
919,0
920,3
921,1
922,1
923,2
924,1
925,1
926,5
927,0
928,4
929,0
930,2
931,3
932,0
933,5
934,5
935,3
936,1
937,5
938,5
939,5
940,4
941,5
942,4
943,4
944,1
945,2
946,4
947,1
948,0
949,4
950,5
951,1
952,1
953,4
954,1
955,0
956,4
957,4
958,4
959,1
960,2
961,1
962,2
963,4
964,1
965,1
966,3
967,3
968,5
969,4
970,1
971,2
972,3
973,2
974,4
975,3
976,4
977,2
978,3
979,3
980,0
981,4
982,0
983,1
984,3
985,2
986,0
987,5
988,5
989,1
990,5
991,5
992,1
993,2
994,2
995,3
996,2
997,2
998,5
999,0
1000,2
1001,5
1002,2
1003,5
1004,2
1005,0
1006,0
1007,5
1008,0
1009,3
1010,5
1011,3
1012,4
1013,5
1014,4
1015,5
1016,4
1017,5
1018,4
1019,1
1020,2
1021,2
1022,3
1023,2
1024,3
1025,5
1026,1
1027,3
1028,2
1029,5
1030,3
1031,4
1032,0
1033,5
1034,2
1035,5
1036,1
1037,2
1038,0
1039,3
1040,0
1041,0
1042,0
1043,1
1044,1
1045,5
1046,5
1047,2
1048,3
1049,4
1050,4
1051,5
1052,3
1053,1
1054,4
1055,2
1056,1
1057,0
1058,2
1059,0
1060,5
1061,4
1062,2
1063,5
1064,1
1065,1
1066,0
1067,2
1068,2
1069,2
1070,1
1071,0
1072,1
1073,5
1074,4
1075,5
1076,0
1077,3
1078,1
1079,0
1080,2
1081,4
1082,3
1083,3
1084,5
1085,3
1086,1
1087,5
1088,4
1089,0
1090,2
1091,5
1092,5
1093,4
1094,5
1095,0
1096,4
1097,2
1098,4
1099,3
1100,1
1101,1
1102,2
1103,1
1104,4
1105,3
1106,3
1107,2
1108,3
1109,3
1110,4
1111,3
1112,3
1113,4
1114,5
1115,0
1116,3
1117,5
1118,4
1119,3
1120,2
1121,3
1122,3
1123,4
1124,5
1125,5
1126,0
1127,0
1128,1
1129,2
1130,1
1131,3
1132,0
1133,2
1134,1
1135,5
1136,4
1137,1
1138,4
1139,3
1140,0
1141,0
1142,2
1143,4
1144,1
1145,3
1146,2
1147,1
1148,1
1149,3
1150,1
1151,2
1152,1
1153,3
1154,3
1155,2
1156,2
1157,4
1158,4
1159,2
1160,5
1161,1
1162,0
1163,5
1164,2
1165,5
1166,5
1167,1
1168,0
1169,2
1170,1
1171,3
1172,4
1173,3
1174,5
1175,0
1176,1
1177,4
1178,1
1179,1
1180,0
1181,1
1182,4
1183,3
1184,4
1185,1
1186,4
1187,1
1188,4
1189,2
1190,0
1191,2
1192,2
1193,2
1194,2
1195,4
1196,3
1197,2
1198,0
1199,1
1200,5
1201,0
1202,0
1203,3
1204,3
1205,5
1206,0
1207,5
1208,2
1209,1
1210,2
1211,3
1212,1
1213,5
1214,5
1215,3
1216,0
1217,4
1218,4
1219,1
1220,1
1221,1
1222,4
1223,2
1224,0
1225,3
1226,5
1227,5
1228,1
1229,2
