chunk_id,source,title,h1,h2,h3,num_chars,num_words,preview
0,01_healthy_eating_basics.md,Основы здорового питания для красоты и здоровья,Основы здорового питания для красоты и здоровья,Базовые принципы нутрициологии,,353,41,"# Основы здорового питания для красоты и здоровья #здоровое_питание, #нутрициология, #баланс_бжу, #гарвардская_тарелка, "
1,01_healthy_eating_basics.md,Основы здорового питания для красоты и здоровья,Основы здорового питания для красоты и здоровья,Базовые принципы нутрициологии,Макронутриенты,505,70,"### Макронутриенты - **Белки:** Строительный материал для клеток, коллагена и кератина. Норма: 1–1.5 г на 1 кг массы тел"
2,01_healthy_eating_basics.md,Основы здорового питания для красоты и здоровья,Основы здорового питания для красоты и здоровья,Базовые принципы нутрициологии,Правило тарелки (Гарвардская тарелка),284,38,### Правило тарелки (Гарвардская тарелка) Для поддержания баланса при каждом приеме пищи рекомендуется визуально делить 
3,01_healthy_eating_basics.md,Основы здорового питания для красоты и здоровья,Основы здорового питания для красоты и здоровья,Базовые принципы нутрициологии,Рекомендации,339,47,### Рекомендации - Ограничение добавленного сахара (не более 25-30 г в сутки по нормам ВОЗ). - Разнообразие рациона (при
4,01_skin_beneficial_foods.md,"Продукты, полезные для кожи","Продукты, полезные для кожи",Влияние продуктов на состояние кожи,,324,36,"# Продукты, полезные для кожи #полезные_продукты, #продукты_для_кожи, #омега3, #антиоксиданты, #коллаген_из_пищи   ## Вл"
5,01_skin_beneficial_foods.md,"Продукты, полезные для кожи","Продукты, полезные для кожи",Влияние продуктов на состояние кожи,Топ-компоненты и их пищевые источники,898,107,"### Топ-компоненты и их пищевые источники - **Омега-3 жирные кислоты:** Снимают воспаление, укрепляют клеточные мембраны"
6,01_skin_beneficial_foods.md,"Продукты, полезные для кожи","Продукты, полезные для кожи",Влияние продуктов на состояние кожи,Рекомендации для внедрения,286,42,### Рекомендации для внедрения - Добавляйте порцию жирной рыбы 2-3 раза в неделю. - Ежедневно употребляйте минимум 400 г
7,02_skin_harmful_foods.md,"Продукты, вредные для кожи","Продукты, вредные для кожи",Механизмы негативного воздействия,,289,31,"# Продукты, вредные для кожи #вредные_продукты, #сахарное_лицо, #процесс_гликации, #трансжиры, #пищевые_триггеры   ## Ме"
8,02_skin_harmful_foods.md,"Продукты, вредные для кожи","Продукты, вредные для кожи",Механизмы негативного воздействия,Основные триггеры и их влияние,989,125,### Основные триггеры и их влияние - **Сахар и быстрые углеводы (высокий гликемический индекс):** - *Механизм:* Вызывают
9,02_skin_harmful_foods.md,"Продукты, вредные для кожи","Продукты, вредные для кожи",Механизмы негативного воздействия,Ошибки и ограничения,163,25,### Ошибки и ограничения - Резкий отказ от всех углеводов (может привести к стрессу и гормональному сбою). Правильный по
10,03_hydration_and_water_intake.md,Питьевой режим и гидратация,Питьевой режим и гидратация,Роль воды для кожи и организма,,279,31,"# Питьевой режим и гидратация #питьевой_режим, #гидратация, #водный_баланс, #вода_для_кожи, #обезвоживание_организма   #"
11,03_hydration_and_water_intake.md,Питьевой режим и гидратация,Питьевой режим и гидратация,Роль воды для кожи и организма,Признаки недостатка воды (внешние),263,32,"### Признаки недостатка воды (внешние) - Кожа становится пергаментной, теряет тургор (упругость). - Появляются мелкие за"
12,03_hydration_and_water_intake.md,Питьевой режим и гидратация,Питьевой режим и гидратация,Роль воды для кожи и организма,Правила питьевого режима,585,84,### Правила питьевого режима - **Норма потребления:** Индивидуальна. В среднем ВОЗ рекомендует около 30 мл жидкости на 1
13,03_hydration_and_water_intake.md,Питьевой режим и гидратация,Питьевой режим и гидратация,Роль воды для кожи и организма,Мифы и ошибки,407,60,"### Мифы и ошибки - **Миф:** «Если пить много воды, кожа перестанет быть сухой». *Правда:* Вода увлажняет изнутри, но ес"
